dataset,method,replication,precision,recall,f1,specificity,n_selected,n_true,runtime
LLD,QMI-CFS (Full),0,0.5,1.0,0.6666666666666666,0.75,8,4,4.020268700027373
LLD,QMI-CFS (No Bootstrap),0,0.4,1.0,0.5714285714285715,0.625,10,4,0.082059099979233
LLD,QMI-CFS (Conservative),0,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5093014999874867
LLD,QMI-CFS (Precision),0,0.5,0.75,0.6,0.8125,6,4,3.530790299992077
LLD,QMI-CFS (No Pairwise),0,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.83879710000474
LLD,QMI-CFS (Full),1,0.6666666666666666,1.0,0.8,0.875,6,4,3.4970522000221536
LLD,QMI-CFS (No Bootstrap),1,0.4,1.0,0.5714285714285715,0.625,10,4,0.09067289996892214
LLD,QMI-CFS (Conservative),1,0.8,1.0,0.888888888888889,0.9375,5,4,3.579396499961149
LLD,QMI-CFS (Precision),1,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5224722000421025
LLD,QMI-CFS (No Pairwise),1,0.6666666666666666,1.0,0.8,0.875,6,4,1.85279640002409
LLD,QMI-CFS (Full),2,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5226450000191107
LLD,QMI-CFS (No Bootstrap),2,0.4,1.0,0.5714285714285715,0.625,10,4,0.08021370001370087
LLD,QMI-CFS (Conservative),2,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5074742999859154
LLD,QMI-CFS (Precision),2,0.5,0.75,0.6,0.8125,6,4,3.499437000020407
LLD,QMI-CFS (No Pairwise),2,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.8424998000264168
LLD,QMI-CFS (Full),3,0.5,1.0,0.6666666666666666,0.75,8,4,3.608407800027635
LLD,QMI-CFS (No Bootstrap),3,0.4,1.0,0.5714285714285715,0.625,10,4,0.0812840000144206
LLD,QMI-CFS (Conservative),3,0.5,1.0,0.6666666666666666,0.75,8,4,3.4787644000025466
LLD,QMI-CFS (Precision),3,0.5,1.0,0.6666666666666666,0.75,8,4,3.525485699996352
LLD,QMI-CFS (No Pairwise),3,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.832610800047405
LLD,QMI-CFS (Full),4,0.5,1.0,0.6666666666666666,0.75,8,4,3.5126316999667324
LLD,QMI-CFS (No Bootstrap),4,0.4,1.0,0.5714285714285715,0.625,10,4,0.07776700000977144
LLD,QMI-CFS (Conservative),4,0.5,1.0,0.6666666666666666,0.75,8,4,3.4929548000218347
LLD,QMI-CFS (Precision),4,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.5242343000136316
LLD,QMI-CFS (No Pairwise),4,0.5,1.0,0.6666666666666666,0.75,8,4,1.900429500034079
LLD,QMI-CFS (Full),5,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5743524999707006
LLD,QMI-CFS (No Bootstrap),5,0.4,1.0,0.5714285714285715,0.625,10,4,0.09147429995937273
LLD,QMI-CFS (Conservative),5,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.492086599988397
LLD,QMI-CFS (Precision),5,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.5944712000200525
LLD,QMI-CFS (No Pairwise),5,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.848646699974779
LLD,QMI-CFS (Full),6,0.4,1.0,0.5714285714285715,0.625,10,4,3.5835761000053026
LLD,QMI-CFS (No Bootstrap),6,0.4,1.0,0.5714285714285715,0.625,10,4,0.08814810001058504
LLD,QMI-CFS (Conservative),6,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.5661047999747097
LLD,QMI-CFS (Precision),6,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.549376900016796
LLD,QMI-CFS (No Pairwise),6,0.4,1.0,0.5714285714285715,0.625,10,4,1.8806762000313029
LLD,QMI-CFS (Full),7,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.5690568000427447
LLD,QMI-CFS (No Bootstrap),7,0.4,1.0,0.5714285714285715,0.625,10,4,0.09130739996908233
LLD,QMI-CFS (Conservative),7,0.5,1.0,0.6666666666666666,0.75,8,4,3.599543399992399
LLD,QMI-CFS (Precision),7,0.5,1.0,0.6666666666666666,0.75,8,4,3.514113399956841
LLD,QMI-CFS (No Pairwise),7,0.5,1.0,0.6666666666666666,0.75,8,4,1.8439568000030704
LLD,QMI-CFS (Full),8,0.5,1.0,0.6666666666666666,0.75,8,4,3.5824512999970466
LLD,QMI-CFS (No Bootstrap),8,0.4,1.0,0.5714285714285715,0.625,10,4,0.09264440002152696
LLD,QMI-CFS (Conservative),8,0.5,1.0,0.6666666666666666,0.75,8,4,3.559868699987419
LLD,QMI-CFS (Precision),8,0.4,1.0,0.5714285714285715,0.625,10,4,3.5658062000293285
LLD,QMI-CFS (No Pairwise),8,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,1.9261849999893457
LLD,QMI-CFS (Full),9,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.6144859999767505
LLD,QMI-CFS (No Bootstrap),9,0.4,1.0,0.5714285714285715,0.625,10,4,0.08920729998499155
LLD,QMI-CFS (Conservative),9,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.692425999965053
LLD,QMI-CFS (Precision),9,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,3.6506073999917135
LLD,QMI-CFS (No Pairwise),9,0.5,1.0,0.6666666666666666,0.75,8,4,1.9318561000400223
LLD,QMI-CFS (Full),10,0.5,1.0,0.6666666666666666,0.75,8,4,3.7157189000281505
LLD,QMI-CFS (No Bootstrap),10,0.4,1.0,0.5714285714285715,0.625,10,4,0.07944860000861809
LLD,QMI-CFS (Conservative),10,0.5,1.0,0.6666666666666666,0.75,8,4,3.6607514999923296
LLD,QMI-CFS (Precision),10,0.42857142857142855,0.75,0.5454545454545454,0.75,7,4,3.7424383999896236
LLD,QMI-CFS (No Pairwise),10,0.5,1.0,0.6666666666666666,0.75,8,4,1.879553200036753
LLD,QMI-CFS (Full),11,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,3.645074100000784
LLD,QMI-CFS (No Bootstrap),11,0.4,1.0,0.5714285714285715,0.625,10,4,0.08004850003635511
LLD,QMI-CFS (Conservative),11,0.6666666666666666,1.0,0.8,0.875,6,4,3.6128414000268094
