dataset,method,seed,ate_error,pehe,relative_ate_error,runtime
LLD,QMI-CFS,0,0.6568377320332464,1.2315745680963008,32.841886600020224,1.9445053999661468
LLD,QMI-CFS,1,0.9207368009703019,1.5063225715614819,46.03684004621325,1.3663856000057422
LLD,QMI-CFS,2,0.4687598088433571,1.1374916613214938,23.437990440995957,1.369410399987828
LLD,QMI-CFS,3,0.3033463842630435,1.0512878869811504,15.16731921239381,1.3586094999918714
LLD,QMI-CFS,4,0.5247261899733311,1.1257685784208604,26.23630949735474,1.3742916000192054
LLD,QMI-CFS,5,0.5473024997671527,1.288515663267174,27.365124986989382,1.3735906000365503
LLD,QMI-CFS,6,0.6718354513818121,1.2264901189977977,33.59177256741101,1.3648048999602906
LLD,QMI-CFS,7,0.549486408790552,1.1302100923171405,27.47432043815388,1.3146485000033863
LLD,QMI-CFS,8,0.6427429259519175,1.238437492693099,32.13714629598902,1.333510499971453
LLD,QMI-CFS,9,0.49654519927038,0.9922079325413858,24.827259962277637,1.3300585999968462
LLD,QMI-CFS,10,0.5761217794390596,1.3732840624085696,28.80608897051268,1.3117980000097305
LLD,QMI-CFS,11,0.4811683378984317,1.0223755382146051,24.058416893718665,1.3489678999758326
LLD,QMI-CFS,12,0.5989214828898812,1.1215499843934833,29.94607414299676,1.4046926000155509
LLD,QMI-CFS,13,0.3582988242309906,1.0016645562943267,17.914941210653783,1.4013970000087284
LLD,QMI-CFS,14,0.308945277502513,0.9624255225868013,15.447263874353286,1.4808522000093944
LLD,QMI-CFS,15,0.7195312801862226,1.2902883367700082,35.9765640075123,1.3530899999896064
LLD,QMI-CFS,16,0.6173918483037224,1.2110940793449008,30.86959241364264,1.3183083000476472
LLD,QMI-CFS,17,0.4681164328199583,1.2248967516275258,23.40582163982762,1.3679262999794446
LLD,QMI-CFS,18,0.6059701875849304,1.1421664183109317,30.29850937773159,1.3189955999841914
LLD,QMI-CFS,19,0.615120881780518,1.1954151926618921,30.7560440874881,1.365541699982714
LLD,QMI-CFS,20,0.5108856923193392,0.9277444853455785,25.54428461468975,1.2989825999829918
LLD,QMI-CFS,21,0.6511283732085258,1.2156814880759481,32.55641865879847,1.5491680999984965
LLD,QMI-CFS,22,0.5255665066947826,0.9742452162338856,26.27832533342521,1.4401848000125028
LLD,QMI-CFS,23,0.5369463551949814,1.0411205409030952,26.847317758406703,1.4087159999762662
LLD,QMI-CFS,24,0.4124288037213,1.2175205708864134,20.621440185033926,1.3987768999650143
LLD,QMI-CFS,25,0.8238168812937787,1.3483202179492892,41.190844062629395,1.5652635000296868
LLD,QMI-CFS,26,0.5391437875135732,1.0692214175373242,26.9571893743308,1.3866059000138193
LLD,QMI-CFS,27,0.44177461151536024,1.1461584413120485,22.088730574663575,1.3099945000139996
LLD,QMI-CFS,28,0.554383916368939,1.0500337854170763,27.719195817060992,1.5317974999779835
LLD,QMI-CFS,29,0.5692959108279352,1.3011415459720477,28.46479553997352,1.4196904000127688
NLC,QMI-CFS,0,0.03442891071490184,0.8028849107882308,2.295260714173772,1.3207431999617256
NLC,QMI-CFS,1,0.11434429609697694,0.9470514439675043,7.6229530726235994,1.3747363000293262
NLC,QMI-CFS,2,0.11505761484089949,0.8094769726294514,7.670507655548599,1.3922837999998592
NLC,QMI-CFS,3,0.052614352000512454,1.1414368808857727,3.5076234664669887,1.3569603000069037
NLC,QMI-CFS,4,0.01396375606011202,1.292327065729431,0.9309170706120735,1.321989600022789
NLC,QMI-CFS,5,0.07621738498549169,0.8313374859441997,5.081158998694035,1.352190299949143
NLC,QMI-CFS,6,0.2270733714026667,0.9312571781027253,15.138224759168564,1.356986600032542
NLC,QMI-CFS,7,0.11588021487201106,1.0708528851045758,7.725347657619047,1.5001002000062726
NLC,QMI-CFS,8,0.15956793021304372,1.0860144110932775,10.637862013493724,1.416623900004197
NLC,QMI-CFS,9,0.20683840112096563,1.0102396552074648,13.789226740478428,1.462521699955687
NLC,QMI-CFS,10,0.15158332832307764,1.0308088851203046,10.105555220864805,1.3591935000149533
NLC,QMI-CFS,11,0.06273219912809913,1.0033371247395033,4.1821466082611325,1.3143392000347376
NLC,QMI-CFS,12,0.041399316774657136,1.1202452942120569,2.759954451459812,1.2725803999928758
NLC,QMI-CFS,13,0.19809428769498472,0.9538152191406157,13.206285845451896,1.311817100038752
NLC,QMI-CFS,14,0.10687303084378574,0.8736536252107888,7.1248687224440586,1.3382349000312388
NLC,QMI-CFS,15,0.012258804986594374,0.9262143805308205,0.8172536657184747,1.3486180999898352
NLC,QMI-CFS,16,0.09462723558321473,0.9991864954914946,6.30848237179375,1.385183300008066
NLC,QMI-CFS,17,0.17010031953534588,1.0574279052473854,11.340021301600391,1.3581699999631383
NLC,QMI-CFS,18,0.008873133666860156,1.0334998959639141,0.5915422444179076,1.2927007999969646
NLC,QMI-CFS,19,0.04698475968566851,0.8283681378175907,3.132317312169079,1.3007475000340492
NLC,QMI-CFS,20,0.0018164521920760457,0.9859131464813661,0.1210968127969966,1.4691050000255927
NLC,QMI-CFS,21,0.276814296344001,1.190228490519034,18.454286421703113,1.3690842000069097
NLC,QMI-CFS,22,0.11097825310064113,0.8010223122411492,7.398550206216171,1.4497847000020556
NLC,QMI-CFS,23,0.05115065859589052,1.488853891547328,3.410043906165365,1.456263999978546
NLC,QMI-CFS,24,0.066400427409679,1.238164032983783,4.426695160350153,1.3582908000098541
NLC,QMI-CFS,25,0.05591738054478679,0.9855027291928701,3.7278253694039307,1.3412274000002071
NLC,QMI-CFS,26,0.4221283251829606,1.0620746694453003,28.141888343654582,1.3351846999721602
NLC,QMI-CFS,27,0.13563607983495873,0.8921171545910328,9.042405321727754,1.294017200008966
NLC,QMI-CFS,28,0.13028537723749145,0.883656613534425,8.685691815253717,1.2932409000350162
NLC,QMI-CFS,29,0.02096865690852745,1.272275521916646,1.3979104604753025,1.447729600011371
HDS,QMI-CFS,0,0.7518438232997053,1.163222108058983,75.1843823224521,5.266735400015023
HDS,QMI-CFS,1,0.6307213350839815,1.1044585846728805,63.07213350209094,5.30816810001852
HDS,QMI-CFS,2,0.6935122230157831,1.1916048521331832,69.3512222946432,5.3297130999853835
HDS,QMI-CFS,3,0.6363345843541259,1.0725298880528518,63.63345842904925,5.346480699954554
HDS,QMI-CFS,4,0.5848073326687997,1.1399059844127277,58.480733261031894,5.367750899982639
HDS,QMI-CFS,5,0.47107245422357935,1.0128110972354418,47.107245417647206,6.505872100009583
HDS,QMI-CFS,6,0.6944478452318785,1.0439482606478159,69.44478451624337,5.257686499971896
HDS,QMI-CFS,7,0.8156363032673579,1.2773760325313392,81.56363031857943,5.317253500048537
HDS,QMI-CFS,8,0.6092193580647423,1.1017398804399652,60.92193580038203,5.311300700006541
HDS,QMI-CFS,9,0.7464236880756379,1.1806928169321282,74.64236880009955,5.2303126999759115
HDS,QMI-CFS,10,1.0196235224546375,1.3201669335019257,101.9623522352675,5.229654300026596
HDS,QMI-CFS,11,0.3860900822756925,0.8352069937701692,38.60900822370835,5.184537399967667
HDS,QMI-CFS,12,0.82241403267005,1.1660009258511264,82.24140325878085,5.283141000021715
HDS,QMI-CFS,13,0.9435146247903632,1.3921606199349876,94.35146246960117,5.173956100014038
HDS,QMI-CFS,14,0.43889283189777273,0.8675509685117642,43.889283185388344,5.285493300005328
HDS,QMI-CFS,15,0.5654692636013123,1.0208261548038238,56.54692635447655,5.15871489996789
