dataset,method,replication,precision,recall,f1,specificity,n_selected,n_true,runtime
LLD,QMI-CFS,0,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,1.5035965999995824
LLD,QMI-CFS-Classic,0,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.38020119999418966
LLD,MI,0,0.4,0.5,0.4444444444444445,0.8125,5,4,0.09679429998504929
LLD,CMI,0,0.6,0.75,0.6666666666666665,0.875,5,4,0.0625624000094831
LLD,LASSO,0,0.23529411764705882,1.0,0.38095238095238093,0.1875,17,4,0.3706467000010889
LLD,Boruta,0,1.0,1.0,1.0,1.0,4,4,23.63812190000317
LLD,RF,0,1.0,0.5,0.6666666666666666,1.0,2,4,1.2127794999978505
LLD,QMI-CFS,1,0.6666666666666666,1.0,0.8,0.875,6,4,0.7744874999916647
LLD,QMI-CFS-Classic,1,0.6666666666666666,1.0,0.8,0.875,6,4,0.3950014000001829
LLD,MI,1,0.6,0.75,0.6666666666666665,0.875,5,4,0.10590289998799562
LLD,CMI,1,0.6,0.75,0.6666666666666665,0.875,5,4,0.0715784999774769
LLD,LASSO,1,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.47300389999873005
LLD,Boruta,1,0.8,1.0,0.888888888888889,0.9375,5,4,4.7249195000040345
LLD,RF,1,1.0,0.5,0.6666666666666666,1.0,2,4,1.2481438999820966
LLD,QMI-CFS,2,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.7601317999942694
LLD,QMI-CFS-Classic,2,0.5,1.0,0.6666666666666666,0.75,8,4,0.38842179998755455
LLD,MI,2,0.4,0.5,0.4444444444444445,0.8125,5,4,0.10486870000022464
LLD,CMI,2,0.8,1.0,0.888888888888889,0.9375,5,4,0.07620199999655597
LLD,LASSO,2,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.3802014000248164
LLD,Boruta,2,1.0,1.0,1.0,1.0,4,4,19.449349500006065
LLD,RF,2,1.0,0.5,0.6666666666666666,1.0,2,4,1.2098496000107843
LLD,QMI-CFS,3,0.5,1.0,0.6666666666666666,0.75,8,4,0.799424299999373
LLD,QMI-CFS-Classic,3,0.5,1.0,0.6666666666666666,0.75,8,4,0.391586699988693
LLD,MI,3,0.2,0.25,0.22222222222222224,0.75,5,4,0.10931520001031458
LLD,CMI,3,0.6,0.75,0.6666666666666665,0.875,5,4,0.08127880000392906
LLD,LASSO,3,0.2,1.0,0.33333333333333337,0.0,20,4,0.37186169999768026
LLD,Boruta,3,0.8,1.0,0.888888888888889,0.9375,5,4,15.997443000000203
LLD,RF,3,1.0,0.5,0.6666666666666666,1.0,2,4,1.2119746999815106
LLD,QMI-CFS,4,0.5,1.0,0.6666666666666666,0.75,8,4,0.7853349999932107
LLD,QMI-CFS-Classic,4,0.5,1.0,0.6666666666666666,0.75,8,4,0.39435000001685694
LLD,MI,4,0.6,0.75,0.6666666666666665,0.875,5,4,0.10100819999934174
LLD,CMI,4,0.6,0.75,0.6666666666666665,0.875,5,4,0.06855629998608492
LLD,LASSO,4,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.3926495000196155
LLD,Boruta,4,1.0,1.0,1.0,1.0,4,4,27.014249600004405
LLD,RF,4,1.0,0.5,0.6666666666666666,1.0,2,4,1.2438223999924958
LLD,QMI-CFS,5,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,0.7667718000011519
LLD,QMI-CFS-Classic,5,0.5714285714285714,1.0,0.7272727272727273,0.8125,7,4,0.4083878000092227
LLD,MI,5,0.6,0.75,0.6666666666666665,0.875,5,4,0.1251341000024695
LLD,CMI,5,0.6,0.75,0.6666666666666665,0.875,5,4,0.06693279999308288
LLD,LASSO,5,0.23529411764705882,1.0,0.38095238095238093,0.1875,17,4,0.3799599999911152
LLD,Boruta,5,1.0,1.0,1.0,1.0,4,4,26.098336499999277
LLD,RF,5,1.0,0.5,0.6666666666666666,1.0,2,4,1.1774275999923702
LLD,QMI-CFS,6,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.7768599000119139
LLD,QMI-CFS-Classic,6,0.4,1.0,0.5714285714285715,0.625,10,4,0.43250999998417683
LLD,MI,6,0.8,1.0,0.888888888888889,0.9375,5,4,0.10483419999945909
LLD,CMI,6,0.6,0.75,0.6666666666666665,0.875,5,4,0.09611079999012873
LLD,LASSO,6,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.42392049997579306
LLD,Boruta,6,0.8,1.0,0.888888888888889,0.9375,5,4,27.24684239999624
LLD,RF,6,1.0,0.5,0.6666666666666666,1.0,2,4,1.2260147999913897
LLD,QMI-CFS,7,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.7857528000022285
LLD,QMI-CFS-Classic,7,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.37754829999175854
LLD,MI,7,0.6,0.75,0.6666666666666665,0.875,5,4,0.09581879997858778
LLD,CMI,7,0.6,0.75,0.6666666666666665,0.875,5,4,0.07046359998639673
LLD,LASSO,7,0.25,1.0,0.4,0.25,16,4,0.3900374000077136
LLD,Boruta,7,1.0,1.0,1.0,1.0,4,4,25.975997100002132
LLD,RF,7,1.0,0.5,0.6666666666666666,1.0,2,4,1.1875641999940854
LLD,QMI-CFS,8,0.5,1.0,0.6666666666666666,0.75,8,4,0.7545203999907244
LLD,QMI-CFS-Classic,8,0.5,1.0,0.6666666666666666,0.75,8,4,0.3849136999924667
LLD,MI,8,0.2,0.25,0.22222222222222224,0.75,5,4,0.1024909999978263
LLD,CMI,8,0.8,1.0,0.888888888888889,0.9375,5,4,0.08414239998091944
LLD,LASSO,8,0.2222222222222222,1.0,0.3636363636363636,0.125,18,4,0.38810660000308417
LLD,Boruta,8,1.0,0.75,0.8571428571428571,1.0,3,4,18.341143400000874
LLD,RF,8,1.0,0.5,0.6666666666666666,1.0,2,4,1.2462417000206187
LLD,QMI-CFS,9,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.7717624999932013
LLD,QMI-CFS-Classic,9,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.40532579997670837
LLD,MI,9,0.4,0.5,0.4444444444444445,0.8125,5,4,0.10729120002361014
LLD,CMI,9,0.6,0.75,0.6666666666666665,0.875,5,4,0.08278189998236485
LLD,LASSO,9,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.398006900009932
LLD,Boruta,9,0.8,1.0,0.888888888888889,0.9375,5,4,27.249793700000737
