dataset,method,seed,ate_error,pehe,relative_ate_error,runtime
LLD,QMI-CFS,0,0.07976019146936375,0.4017707928302106,3.9880095732687875,1.5769759000104386
LLD,MI,0,0.8145149300822521,0.8753901754599647,40.72574650207631,0.1441474000166636
LLD,CMI,0,0.5422822584374725,0.6233023571041922,27.11411292051792,0.10405239998362958
LLD,LASSO,0,0.06833052803370121,0.41237156049572654,3.416526401514234,0.48646700000972487
LLD,Boruta,0,0.14695384847508652,0.2441614605561846,7.347692423386941,30.489919999992708
LLD,RF,0,0.9546942440919248,0.9687740673060422,47.73471220220951,1.6851182999962475
LLD,All-Features,0,0.0648512460591657,0.47029366767202907,3.242562302796157,0.008802900003502145
LLD,QMI-CFS,1,0.5452117044683145,0.5303150368052026,27.26058522205269,0.9949679999845102
LLD,MI,1,0.6757645273747475,0.7132648031065262,33.78822636704796,0.13389599998481572
LLD,CMI,1,0.6975552600769506,0.7244941213015494,34.87776300210364,0.11551390000386164
LLD,LASSO,1,0.32530771903408295,0.6043903122358033,16.265385950890877,0.524007400003029
LLD,Boruta,1,0.4160642859608368,0.4648392717386808,20.80321429700168,24.545107300014934
LLD,RF,1,1.2350741236498068,1.2289280460769043,61.753706179402656,1.582000499998685
LLD,All-Features,1,0.32530771903408295,0.6043903122358033,16.265385950890877,0.010189799999352545
LLD,QMI-CFS,2,0.1263537798599379,0.45669676054219255,6.31768899268101,1.0090427999966778
LLD,MI,2,0.37566149196369514,0.660232270166293,18.7830745972456,0.14474290001089685
LLD,CMI,2,0.10085114738987144,0.3655227453917055,5.042557369241444,0.10857280000345781
LLD,LASSO,2,0.1621326680536943,0.45409045854547114,8.106633402279384,0.5054314000008162
LLD,Boruta,2,0.06003424038969829,0.41761200510174196,3.0017120193348292,33.05603840001277
LLD,RF,2,0.6816837988101954,0.7296156492126743,34.08418993880556,1.6048148999980185
LLD,All-Features,2,0.1621326680536943,0.45409045854547114,8.106633402279384,0.00969870001426898
LLD,QMI-CFS,3,0.26741173062175316,0.3512964646273419,13.370586530419128,0.9978457999823149
LLD,MI,3,0.44879250264965576,0.7205321239095286,22.439625131360806,0.1303022000065539
LLD,CMI,3,0.355497979867748,0.4470898812270222,17.774898992498656,0.10436480000498705
LLD,LASSO,3,0.2248265017276272,0.3525133736220993,11.241325085819295,0.5087553000194021
LLD,Boruta,3,0.2053968190824944,0.27710303687475624,10.269840953611228,35.33751510002185
LLD,RF,3,0.44759180783072416,0.48057505056717104,22.379590390417228,1.5576562999922317
LLD,All-Features,3,0.2251700904199665,0.36267320065408415,11.2585045204354,0.009226499998476356
LLD,QMI-CFS,4,0.03832579661912394,0.4688769844086816,1.9162898308603828,0.9564427000004798
LLD,MI,4,0.7770948811370952,0.9466889653136592,38.854744054912025,0.11891590000595897
LLD,CMI,4,0.5057356111138827,0.786907412564276,25.286780554429793,0.1030495000013616
LLD,LASSO,4,0.0006514022071275605,0.41214916928907325,0.03257011035474952,0.5040926999936346
LLD,Boruta,4,0.06249719310288793,0.32481693210814233,3.1248596549881533,26.320730000006733
LLD,RF,4,0.7889000708578471,0.8020619480277801,39.445003540920105,1.796175099996617
LLD,All-Features,4,0.0005363405488356676,0.44026423816950916,0.026817027440442533,0.009263399988412857
LLD,QMI-CFS,5,0.035001603141511684,0.3546714481591592,1.7500801569880802,1.0251178999897093
LLD,MI,5,0.792391709378935,0.9433703789284625,39.619585466965766,0.13302450001356192
LLD,CMI,5,0.5222354830369449,0.6649453425119144,26.111774150541656,0.09618230001069605
LLD,LASSO,5,0.0032439924070826187,0.4482490639377048,0.16219962034602095,0.4936479000025429
LLD,Boruta,5,0.0029814244777468524,0.2610921976733691,0.14907122387988905,8.024032199988142
LLD,RF,5,0.816885401396422,0.7756446637836818,40.84427006777888,1.611732099991059
LLD,All-Features,5,0.0014141755157262015,0.4524733129058103,0.07070877578277464,0.010281099996063858
LLD,QMI-CFS,6,0.15332343001472415,0.38250612188529026,7.666171500352899,0.9886331000016071
LLD,MI,6,0.8903762342589583,0.9310812708426237,44.51881171072197,0.12274170000455342
LLD,CMI,6,1.171579401389716,1.1964448477519345,58.578970066556856,0.09147839999059215
LLD,LASSO,6,0.005142353390025889,0.3651504976628325,0.25711766948843856,0.49947120001888834
LLD,Boruta,6,0.20516755942492804,0.328622281675608,10.258377970733482,23.43099369999254
LLD,RF,6,0.9332400676996868,0.9441858395690752,46.66200338265124,1.7469592999841552
LLD,All-Features,6,0.007109434761205069,0.3642171211492004,0.3554717380424799,0.011829399998532608
LLD,QMI-CFS,7,0.07188020624546398,0.24163496449984165,3.5940103120934985,0.9810332000197377
LLD,MI,7,0.4137207002284393,0.4356214056689283,20.686035010387663,0.14055139999254607
LLD,CMI,7,0.12382671554908775,0.24036942658131996,6.191335777144821,0.10821719997329637
