baseline,method,mean_diff,median_diff,n_pairs,w_statistic,p_value_raw,dataset,p_value_corrected,reject,significance
QMI-CFS,MI,-0.05693308266312739,-0.07241920851514216,30,193.0,0.42795460671186447,CC,0.0020697489380836487,True,**
QMI-CFS,CMI,0.07226572486793446,0.0280202891039657,30,155.0,0.11417667381465435,CC,0.0020697489380836487,True,**
QMI-CFS,LASSO,0.12008610064551996,0.07726312777017441,30,67.0,0.0003449581563472748,CC,0.0020697489380836487,True,**
QMI-CFS,Boruta,0.015874486534140565,-0.013563643402313974,30,221.0,0.8235769439488649,CC,0.0020697489380836487,True,**
QMI-CFS,RF,-0.001095289423962605,-0.0091685473498051,30,228.0,0.935398668050766,CC,0.0020697489380836487,True,**
QMI-CFS,All-Features,0.11941338510012958,0.07726312777017441,30,72.0,0.0005548261106014252,CC,0.0020697489380836487,True,**
QMI-CFS,MI,-0.3106417156551834,-0.31843972751832705,30,14.0,2.0489096641540527e-07,HDS,1.2293457984924316e-06,True,***
QMI-CFS,CMI,-0.16319796059720607,-0.08593393503376351,30,68.0,0.0003800932317972183,HDS,1.2293457984924316e-06,True,***
QMI-CFS,LASSO,0.015219347579533866,-0.004605989830916923,30,203.0,0.5561132747679949,HDS,1.2293457984924316e-06,True,***
QMI-CFS,Boruta,-0.039613040628660286,0.004963027985115609,30,206.0,0.5978077705949545,HDS,1.2293457984924316e-06,True,***
QMI-CFS,RF,0.019905029326120517,0.00922490357680772,30,170.0,0.20540969260036945,HDS,1.2293457984924316e-06,True,***
QMI-CFS,All-Features,0.01902176453353552,3.85489119409943e-05,30,210.0,0.6554384250193834,HDS,1.2293457984924316e-06,True,***
QMI-CFS,MI,0.005439726164589631,0.002042462069196116,30,203.0,0.5561132747679949,IC,1.0,False,ns
QMI-CFS,CMI,0.002989801978604634,0.004871818460758792,30,214.0,0.7151329666376114,IC,1.0,False,ns
QMI-CFS,LASSO,0.005612407591791261,0.005678703363234172,30,196.0,0.46454504504799843,IC,1.0,False,ns
QMI-CFS,Boruta,0.0005979316493849899,0.00237876971297335,30,222.0,0.8393927440047264,IC,0.8393927440047264,False,ns
QMI-CFS,RF,0.004513539271062195,0.0021774261884752732,30,197.0,0.4771064817905426,IC,1.0,False,ns
QMI-CFS,All-Features,0.007935301116664132,0.01321274633988212,30,173.0,0.22855282202363014,IC,1.0,False,ns
QMI-CFS,MI,-0.4689018380116066,-0.43596280891972894,30,5.0,1.862645149230957e-08,LLD,1.1175870895385742e-08,True,***
QMI-CFS,CMI,-0.26114560873218856,-0.2841321783463878,30,51.0,6.286613643169403e-05,LLD,1.1175870895385742e-08,True,***
QMI-CFS,LASSO,0.0447761280520457,0.040129811653061176,30,99.0,0.0050126127898693085,LLD,1.1175870895385742e-08,True,***
QMI-CFS,Boruta,-0.005521034860784316,0.004538890395522577,30,224.0,0.871207794174552,LLD,1.1175870895385742e-08,True,***
QMI-CFS,RF,-0.6673359690290185,-0.6942335208450594,30,0.0,1.862645149230957e-09,LLD,1.1175870895385742e-08,True,***
QMI-CFS,All-Features,0.04407005428428556,0.04001554813603747,30,101.0,0.00577649287879467,LLD,1.1175870895385742e-08,True,***
QMI-CFS,MI,0.029319639959455406,0.04310840604839805,30,169.0,0.19807579927146435,NLC,0.8759969472885132,False,ns
QMI-CFS,CMI,0.019259803922618137,-0.0023365684053993085,30,204.0,0.5698575973510742,NLC,0.8759969472885132,False,ns
QMI-CFS,LASSO,0.01833385199170535,-0.01351852176547963,30,187.0,0.3598779272288084,NLC,0.8759969472885132,False,ns
QMI-CFS,Boruta,0.03351670986814589,0.011211604678799392,30,161.0,0.1459994912147522,NLC,0.8759969472885132,False,ns
QMI-CFS,RF,0.025883923125952907,0.006206763780499558,30,186.0,0.3492113798856735,NLC,0.8759969472885132,False,ns
QMI-CFS,All-Features,0.008964239654833369,-0.0044482301167724225,30,206.0,0.5978077705949545,NLC,0.5978077705949545,False,ns
QMI-CFS,MI,-0.002338189438422796,0.0025822389098855147,30,230.0,0.9676735773682594,WC,0.01280045136809349,True,*
QMI-CFS,CMI,0.005639730097718124,-0.007595958990915919,30,218.0,0.7765688337385654,WC,0.01280045136809349,True,*
QMI-CFS,LASSO,0.03802007393273542,0.04762931143663046,30,90.0,0.002560090273618698,WC,0.015360541641712189,True,*
QMI-CFS,Boruta,0.0028419105189869676,-0.005505402431901285,30,226.0,0.9032264724373817,WC,0.01280045136809349,True,*
QMI-CFS,RF,0.01112671776090313,0.012767857015889506,30,181.0,0.2988441474735737,WC,0.01280045136809349,True,*
QMI-CFS,All-Features,0.037745932638905536,0.04762931143663046,30,90.0,0.002560090273618698,WC,0.01280045136809349,True,*
