n_samples,method,replication,f1,ate_error,runtime
100,QMI-CFS,0,0.7272727272727272,0.5789132533808474,2.651065699988976
100,MI,0,0.8000000000000002,0.35108824491021684,0.0400177999981679
100,CMI,0,0.6,0.7902958234010438,0.027056200022343546
100,LASSO,0,0.5263157894736842,0.40063563322602924,0.14185660000657663
100,Boruta,0,0.7499999999999999,0.5044213269493603,26.39079999999376
100,RF,0,0.5714285714285715,0.7479182495977086,1.4101749999681488
100,All-Features,0,0.5,0.3955344327690544,0.00782590004382655
100,QMI-CFS,1,0.4000000000000001,1.0731866677238928,2.2669716000091285
100,MI,1,0.6,1.018147132071546,0.03851899999426678
100,CMI,1,0.6,1.1371468111816085,0.030678799957968295
100,LASSO,1,0.5555555555555556,0.2599203631872573,0.1901293999981135
100,Boruta,1,0.5,0.9962030733062703,20.90107199997874
100,RF,1,0.5714285714285715,1.0579469619229878,1.3724609999917448
100,All-Features,1,0.5,0.28481905475431146,0.00469959998736158
100,QMI-CFS,2,0.3333333333333333,0.8881557158022391,2.248954300011974
100,MI,2,0.20000000000000004,0.9110438834715233,0.039601200027391315
100,CMI,2,0.6,0.1988848263029337,0.03384260000893846
100,LASSO,2,0.5,0.26967313001500237,0.14312510000308976
100,Boruta,2,0.33333333333333337,0.8022260710003821,29.223133500025142
100,RF,2,0.5714285714285715,0.4949020642893469,1.1145948999910615
100,All-Features,2,0.5,0.26967313001500237,0.006203899974934757
100,QMI-CFS,3,0.8000000000000002,0.213456791743452,2.3122234999900684
100,MI,3,0.6,0.16527822457637686,0.04142879997380078
100,CMI,3,0.4000000000000001,0.6167052445226746,0.026930199994239956
100,LASSO,3,0.5,0.13205572230134965,0.15623439999762923
100,Boruta,3,0.7499999999999999,0.16801266306167806,40.32435420004185
100,RF,3,0.5714285714285715,0.5595059192899536,1.6676876000128686
100,All-Features,3,0.5,0.13205572230134965,0.008124100044369698
100,QMI-CFS,4,0.3333333333333333,0.1519670284889738,2.9769281999906525
100,MI,4,0.4000000000000001,0.059854017387222624,0.053894200013019145
100,CMI,4,0.8000000000000002,0.3566862705031857,0.04149800003506243
100,LASSO,4,0.5263157894736842,0.29282776234144015,0.22038239997345954
100,Boruta,4,0.0,0.7474120141767782,40.34816650004359
100,RF,4,0.5714285714285715,0.05830159182081496,1.295131599996239
100,All-Features,4,0.5,0.28601558056105425,0.008054399979300797
100,QMI-CFS,5,0.5,0.07953950195836201,3.012514400004875
100,MI,5,0.4000000000000001,0.1817454153146416,0.06828569999197498
100,CMI,5,0.6,0.6099722731798618,0.06812060001539066
100,LASSO,5,0.5263157894736842,0.37985926798826575,0.21425560000352561
100,Boruta,5,0.7499999999999999,0.03865211122375145,35.90068469999824
100,RF,5,0.5714285714285715,0.36170706569998146,1.2309868999873288
100,All-Features,5,0.5,0.39800775309302083,0.004551299964077771
100,QMI-CFS,6,0.5454545454545454,0.4353510492445949,2.2962197000160813
100,MI,6,0.4000000000000001,0.630767122692069,0.03903309995075688
100,CMI,6,0.8000000000000002,0.2618743277314888,0.033929299970623106
100,LASSO,6,0.5263157894736842,0.01962962849524219,0.1376589999999851
100,Boruta,6,0.5714285714285715,0.6926894515656032,31.58712550002383
100,RF,6,0.5714285714285715,0.801005298218755,0.9939009999507107
100,All-Features,6,0.5,0.042529220327216066,0.003279700002167374
100,QMI-CFS,7,0.4000000000000001,0.7472893785034587,2.2264468000503257
100,MI,7,0.20000000000000004,0.8247260959959788,0.04064009996363893
100,CMI,7,0.8000000000000002,0.4338308123668857,0.03401179995853454
100,LASSO,7,0.5263157894736842,0.2735838295171673,0.14879269996890798
100,Boruta,7,0.5714285714285715,0.48745356028434195,18.457781999954022
100,RF,7,0.5714285714285715,0.48745356028434195,1.2246126999962144
100,All-Features,7,0.5,0.29178527789061803,0.005799699982162565
100,QMI-CFS,8,0.6666666666666666,0.09819251922573469,2.261407500016503
100,MI,8,0.8000000000000002,0.02174864708315316,0.039955400046892464
100,CMI,8,0.6,0.9018151546463686,0.03644110000459477
100,LASSO,8,0.5,0.42465514946680494,0.15381089999573305
100,Boruta,8,0.6666666666666665,0.7362287126707723,30.413028199982364
100,RF,8,0.5714285714285715,1.2958452114076913,1.4380992000224069
100,All-Features,8,0.5,0.42465514946680494,0.00511299999197945
100,QMI-CFS,9,0.3636363636363636,0.8158048121279702,2.2139519000193104
100,MI,9,0.6,0.4808550052442433,0.04284909996204078
100,CMI,9,0.6,0.5960244008091582,0.029059800028335303
100,LASSO,9,0.5,0.30415650117491344,0.15429049998056144
100,Boruta,9,0.5714285714285715,0.7377020588107213,24.71494039997924
100,RF,9,0.5714285714285715,0.7377020588107213,1.0150336000369862
