baseline,method,mean_diff,median_diff,n_pairs,w_statistic,p_value_raw,n_samples,p_value_corrected,reject,significance
QMI-CFS,MI,-0.052770083109976704,-0.07980841922707627,50,508.0,0.215052456193769,100,5.321050267070859e-08,True,***
QMI-CFS,CMI,-0.10014371137942873,-0.09445708136690134,50,492.0,0.16293225736063377,100,5.321050267070859e-08,True,***
QMI-CFS,LASSO,0.4339086845987886,0.5003734778379356,50,102.0,1.0642100534141719e-08,100,5.321050267070859e-08,True,***
QMI-CFS,Boruta,-0.05748262178162028,-0.0547812827414631,50,498.0,0.18125476399734453,100,5.321050267070859e-08,True,***
QMI-CFS,RF,-0.07035487850673293,-0.07933111319188213,50,522.0,0.2695104487517437,100,5.321050267070859e-08,True,***
QMI-CFS,All-Features,0.42986129098176173,0.49167897383349013,50,101.0,9.772863407420118e-09,100,5.863718044452071e-08,True,***
QMI-CFS,MI,-0.2731042989244281,-0.30222590719175835,50,170.0,1.4543591948523726e-06,250,5.10347319959692e-10,True,***
QMI-CFS,CMI,-0.276052142617362,-0.30837165778951414,50,180.0,2.670359481982132e-06,250,5.10347319959692e-10,True,***
QMI-CFS,LASSO,0.28364529627053403,0.2632473029226111,50,54.0,9.07522945681194e-11,250,5.445137674087164e-10,True,***
QMI-CFS,Boruta,0.05283093856202742,0.04808765518014069,50,393.0,0.017575449774248852,250,5.10347319959692e-10,True,***
QMI-CFS,RF,-0.39650944646348907,-0.4786750780013542,50,55.0,1.0206946399193839e-10,250,5.10347319959692e-10,True,***
QMI-CFS,All-Features,0.2823829335593175,0.2555333016757352,50,57.0,1.2871659293978155e-10,250,5.10347319959692e-10,True,***
QMI-CFS,MI,-0.4855577319656312,-0.43411852087899194,50,16.0,3.0020430585864233e-13,500,2.1316282072803006e-14,True,***
QMI-CFS,CMI,-0.3432717743759317,-0.3549077473905722,50,85.0,2.3344064459251967e-09,500,2.1316282072803006e-14,True,***
QMI-CFS,LASSO,0.09400963754820467,0.0628751802769123,50,128.0,8.403119267086367e-08,500,2.1316282072803006e-14,True,***
QMI-CFS,Boruta,0.05785257637663368,-0.0018009699686935,50,471.0,0.230133212221037,500,2.1316282072803006e-14,True,***
QMI-CFS,RF,-0.6971980980820659,-0.7251183114355606,50,1.0,3.552713678800501e-15,500,2.1316282072803006e-14,True,***
QMI-CFS,All-Features,0.09381709459645339,0.065010441850887,50,129.0,9.051156624195755e-08,500,2.1316282072803006e-14,True,***
QMI-CFS,MI,-0.4154861305758169,-0.3849596378310035,50,14.0,1.9539925233402755e-13,1000,1.0658141036401503e-14,True,***
QMI-CFS,CMI,-0.2966817285989823,-0.28998601061269647,50,17.0,3.6770586575585185e-13,1000,1.0658141036401503e-14,True,***
QMI-CFS,LASSO,0.014850590240172674,0.014139440716503637,50,399.0,0.020665866669398625,1000,1.0658141036401503e-14,True,***
QMI-CFS,Boruta,0.003274700816169691,-0.002871529275335738,50,606.0,0.9484467696868472,1000,1.0658141036401503e-14,True,***
QMI-CFS,RF,-0.8408696039869491,-0.8569948040454534,50,0.0,1.7763568394002505e-15,1000,1.0658141036401503e-14,True,***
QMI-CFS,All-Features,0.01507249498595049,0.014410295146563779,50,391.0,0.016637745581261854,1000,1.0658141036401503e-14,True,***
