dataset,method,seed,f1,precision,recall,specificity,ate_error,n_selected,true_ate
IHDP-A,QMI-CFS,0,0.5454545454545454,0.375,1.0,0.7727272727272727,0.013586630941456512,8,4.0
IHDP-A,MI,0,0.0,0.0,0.0,0.8636363636363636,0.5428635315331531,3,4.0
IHDP-A,CMI,0,1.0,1.0,1.0,1.0,0.00043975499743487134,3,4.0
IHDP-A,LASSO,0,0.6,0.42857142857142855,1.0,0.8181818181818182,0.02425861314038924,7,4.0
IHDP-A,Boruta,0,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.7727272727272727,0.47880998008492837,6,4.0
IHDP-A,RF,0,1.0,1.0,1.0,1.0,0.00043975499743487134,3,4.0
IHDP-A,All-Features,0,0.21428571428571425,0.12,1.0,0.0,0.020502465080789456,25,4.0
IHDP-A,HSIC-Med,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.08175992022347423,3,4.0
IHDP-A,HSIC-CV,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.08937628734336656,3,4.0
IHDP-A,HSIC-Lasso,0,1.0,1.0,1.0,1.0,0.00043975499743487134,3,4.0
IHDP-A,QMI-CFS,1,0.4615384615384615,0.3,1.0,0.6818181818181818,0.05977314633701214,10,4.0
IHDP-A,MI,1,0.0,0.0,0.0,0.8636363636363636,0.26280506064899045,3,4.0
IHDP-A,CMI,1,1.0,1.0,1.0,1.0,0.07985643241611129,3,4.0
IHDP-A,LASSO,1,0.2857142857142857,0.16666666666666666,1.0,0.3181818181818182,0.07300381000893408,18,4.0
IHDP-A,Boruta,1,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.16728583331743607,6,4.0
IHDP-A,RF,1,1.0,1.0,1.0,1.0,0.07985643241611129,3,4.0
IHDP-A,All-Features,1,0.21428571428571425,0.12,1.0,0.0,0.0740572210376862,25,4.0
IHDP-A,HSIC-Med,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.10115467629824604,3,4.0
IHDP-A,HSIC-CV,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.10115467629824604,3,4.0
IHDP-A,HSIC-Lasso,1,1.0,1.0,1.0,1.0,0.07985643241611129,3,4.0
IHDP-A,QMI-CFS,2,0.5454545454545454,0.375,1.0,0.7727272727272727,0.0016416154910476877,8,4.0
IHDP-A,MI,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.11877138031300483,3,4.0
IHDP-A,CMI,2,1.0,1.0,1.0,1.0,0.02391796299016047,3,4.0
IHDP-A,LASSO,2,0.6666666666666666,0.5,1.0,0.8636363636363636,0.0037369763984651527,6,4.0
IHDP-A,Boruta,2,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.11311739406716903,6,4.0
IHDP-A,RF,2,1.0,1.0,1.0,1.0,0.02391796299016047,3,4.0
IHDP-A,All-Features,2,0.21428571428571425,0.12,1.0,0.0,0.018709405454887307,25,4.0
IHDP-A,HSIC-Med,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.1162976870098884,3,4.0
IHDP-A,HSIC-CV,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9545454545454546,0.1162976870098884,3,4.0
IHDP-A,HSIC-Lasso,2,1.0,1.0,1.0,1.0,0.02391796299016047,3,4.0
